date,value
2020-01-31,321.750.000
2020-02-03,318.750.000
2020-02-04,318.279.999
2020-02-05,320.500.000
2020-02-06,330.910.004
2020-02-07,340.369.995
2020-02-10,337.220.001
2020-02-11,347.640.015
2020-02-12,346.420.013
2020-02-13,344.320.007
2020-02-14,342.299.988
2020-02-18,338.769.989
2020-02-19,338.119.995
2020-02-20,338.290.009
2020-02-21,334.049.988
2020-02-24,320.000.000
2020-02-25,318.260.010
2020-02-26,307.000.000
2020-02-27,300.369.995
2020-02-28,278.070.007
2020-03-02,279.540.009
2020-03-03,292.000.000
2020-03-04,284.549.988
2020-03-05,275.790.009
2020-03-06,253.699.997
2020-03-09,238.000.000
2020-03-10,237.000.000
2020-03-11,222.990.005
2020-03-12,160.529.999
2020-03-13,174.970.001
2020-03-16,149.419.998
2020-03-17,132.509.995
2020-03-18,99.860.001
2020-03-19,98.800.003
2020-03-20,99.849.998
2020-03-23,98.750.000
2020-03-24,123.680.000
2020-03-25,154.899.994
2020-03-26,172.289.993
2020-03-27,172.000.000
2020-03-30,153.809.998
2020-03-31,155.000.000
2020-04-01,138.910.004
2020-04-02,128.509.995
2020-04-03,125.000.000
2020-04-06,133.699.997
2020-04-07,162.000.000
2020-04-08,147.509.995
2020-04-09,154.710.007
2020-04-13,155.500.000
2020-04-14,150.509.995
2020-04-15,139.000.000
2020-04-16,141.460.007
2020-04-17,149.410.004
2020-04-20,147.210.007
2020-04-21,139.009.995
2020-04-22,140.419.998
2020-04-23,136.500.000
2020-04-24,137.000.000
2020-04-27,129.970.001
2020-04-28,133.880.005
2020-04-29,138.080.002
2020-04-30,137.669.998
2020-05-01,143.229.996
2020-05-04,127.120.003
2020-05-05,132.880.005
2020-05-06,125.800.003
2020-05-07,122.809.998
2020-05-08,132.570.007
2020-05-11,130.919.998
2020-05-12,129.720.001
2020-05-13,125.000.000
2020-05-14,118.980.003
2020-05-15,118.330.002
2020-05-18,126.180.000
2020-05-19,137.000.000
2020-05-20,133.270.004
2020-05-21,137.000.000
2020-05-22,141.009.995
2020-05-26,145.210.007
2020-05-27,149.139.999
2020-05-28,156.100.006
2020-05-29,145.300.003
2020-06-01,145.449.997
2020-06-02,154.000.000
2020-06-03,157.100.006
2020-06-04,181.279.999
2020-06-05,205.000.000
2020-06-08,222.940.002
2020-06-09,222.139.999
2020-06-10,211.169.998
2020-06-11,179.350.006
2020-06-12,187.149.994
2020-06-15,177.179.993
2020-06-16,207.149.994
2020-06-17,194.520.004
2020-06-18,188.240.005
2020-06-19,197.899.994
2020-06-22,184.559.998
2020-06-23,189.300.003
2020-06-24,183.610.001
2020-06-25,169.869.995
2020-06-26,173.419.998
2020-06-29,181.000.000
2020-06-30,188.020.004
2020-07-01,185.880.005
2020-07-02,185.580.002
2020-07-06,184.520.004
2020-07-07,185.070.007
2020-07-08,179.050.003
2020-07-09,179.669.998
2020-07-10,171.699.997
2020-07-13,180.199.997
2020-07-14,177.000.000
2020-07-15,185.539.993
2020-07-16,184.320.007
2020-07-17,178.410.004
2020-07-20,175.130.005
2020-07-21,178.429.993
2020-07-22,176.429.993
2020-07-23,178.000.000
2020-07-24,175.679.993
2020-07-27,173.190.002
2020-07-28,168.500.000
2020-07-29,172.899.994
2020-07-30,162.880.005
2020-07-31,161.550.003
2020-08-03,156.509.995
2020-08-04,164.630.005
2020-08-05,167.600.006
2020-08-06,172.800.003
2020-08-07,171.500.000
2020-08-10,171.360.001
2020-08-11,184.509.995
2020-08-12,184.009.995
2020-08-13,173.619.995
2020-08-14,173.089.996
2020-08-17,178.240.005
2020-08-18,172.009.995
2020-08-19,170.440.002
2020-08-20,168.539.993
2020-08-21,168.350.006
2020-08-24,168.779.999
2020-08-25,180.460.007
2020-08-26,173.800.003
2020-08-27,174.710.007
2020-08-28,175.110.001
2020-08-31,174.649.994
2020-09-01,170.710.007
2020-09-02,172.740.005
2020-09-03,175.000.000
2020-09-04,171.309.998
2020-09-08,165.800.003
2020-09-09,161.610.001
2020-09-10,160.960.007
2020-09-11,158.000.000
2020-09-14,161.750.000
2020-09-15,166.649.994
2020-09-16,161.949.997
2020-09-17,164.630.005
2020-09-18,165.660.004
2020-09-21,157.830.002
2020-09-22,156.809.998
2020-09-23,157.330.002
2020-09-24,150.289.993
2020-09-25,146.850.006
2020-09-28,160.330.002
2020-09-29,164.770.004
2020-09-30,164.500.000
2020-10-01,170.149.994
2020-10-02,161.860.001
2020-10-05,169.490.005
2020-10-06,173.039.993
2020-10-07,163.710.007
2020-10-08,166.220.001
2020-10-09,169.929.993
2020-10-12,167.750.000
2020-10-13,165.360.001
2020-10-14,162.699.997
2020-10-15,161.009.995
2020-10-16,171.220.001
2020-10-19,169.089.996
2020-10-20,168.289.993
2020-10-21,166.440.002
2020-10-22,164.699.997
2020-10-23,169.990.005
2020-10-26,164.949.997
2020-10-27,159.160.004
2020-10-28,153.000.000
2020-10-29,148.029.999
2020-10-30,147.199.997
2020-11-02,145.750.000
2020-11-03,151.830.002
2020-11-04,153.169.998
2020-11-05,152.479.996
2020-11-06,156.330.002
2020-11-09,179.000.000
2020-11-10,182.800.003
2020-11-11,189.889.999
2020-11-12,178.949.997
2020-11-13,179.000.000
2020-11-16,194.559.998
2020-11-17,200.250.000
2020-11-18,223.020.004
2020-11-19,200.449.997
2020-11-20,204.589.996
2020-11-23,203.240.005
2020-11-24,219.429.993
2020-11-25,217.710.007
2020-11-27,218.250.000
2020-11-30,215.699.997
2020-12-01,214.309.998
2020-12-02,213.009.995
2020-12-03,228.300.003
2020-12-04,236.360.001
2020-12-07,238.500.000
2020-12-08,238.699.997
2020-12-09,238.639.999
2020-12-10,228.100.006
2020-12-11,232.820.007
2020-12-14,235.000.000
2020-12-15,230.000.000
2020-12-16,229.330.002
2020-12-17,227.240.005
2020-12-18,222.050.003
2020-12-21,212.339.996
2020-12-22,223.279.999
2020-12-23,219.550.003
2020-12-24,219.619.995
2020-12-28,218.190.002
2020-12-29,218.300.003
2020-12-30,216.360.001
2020-12-31,216.240.005
2021-01-04,210.000.000
2021-01-05,204.740.005
2021-01-06,210.220.001
2021-01-07,213.389.999
2021-01-08,213.610.001
2021-01-11,203.029.999
2021-01-12,206.649.994
2021-01-13,207.149.994
2021-01-14,208.789.993
2021-01-15,208.960.007
2021-01-19,206.990.005
2021-01-20,213.240.005
2021-01-21,211.720.001
2021-01-22,205.550.003
2021-01-25,203.270.004
2021-01-26,205.339.996
2021-01-27,196.899.994
2021-01-28,198.050.003
2021-01-29,198.300.003